Fecha,Estación,Fósforo total (µg P/L),Nitrógeno total (mg N/L),Oxigeno disuelto (mg/L),Potencial de hidrogeno (pH) ,Temperatura (ºC),Ch-a ug/L
2009-05-28,RN9F,86.4,0.69,6.21,6.97,16.9,
2009-09-17,RN9F,54.0,0.71,8.78,7.35,15.0,1.7
2010-06-03,RN9F,67.0,0.595,8.63,7.34,15.2,8.3
2010-08-06,RN9F,74.0,0.48,10.12,7.63,9.1,0.3
2010-12-03,RN9F,71.3,0.65,7.48,7.36,22.7,1.9
2011-04-01,RN9F,68.8,0.32,8.52,7.35,21.0,0.1
2011-05-27,RN9F,95.1,0.85,8.14,7.64,15.0,0.3
2012-01-19,RN9F,78.0,0.5,7.77,7.92,25.3,8.0
2012-03-22,RN9F,82.9,0.51,7.31,6.9,24.5,1.2
2012-08-16,RN9F,92.1,0.73,9.29,7.45,14.8,0.9
2012-12-07,RN9F,88.5,0.62,7.38,7.1,24.9,5.8
2013-02-21,RN9F,90.4,0.54,6.68,7.43,23.4,1.2
2013-07-04,RN9F,122.0,0.54,10.22,8.23,12.7,1.3
2014-02-06,RN9F,830.0,0.78,7.38,6.32,23.9,0.4
2014-05-22,RN9F,260.0,0.68,9.5,7.77,16.0,0.25
2014-07-31,RN9F,119.0,0.76,10.8,7.19,13.7,0.1
2014-11-27,RN9F,92.2,1.07,7.95,7.39,22.1,0.6
2015-03-19,RN9F,110.0,0.53,7.38,7.76,26.1,1.3
2015-06-05,RN9F,84.0,0.54,8.94,7.81,17.4,1.8
2015-09-03,RN9F,85.0,0.7,9.94,7.06,15.4,0.9
2015-12-03,RN9F,89.0,0.87,8.21,7.65,22.9,0.6
2016-02-25,RN9F,120.0,0.54,6.98,7.86,28.2,2.1
2016-05-26,RN9F,85.0,0.69,11.09,7.36,14.1,1.3
2016-09-22,RN9F,48.0,0.76,11.5,7.21,15.3,0.1
2016-11-23,RN9F,71.0,0.76,8.75,5.97,22.8,4.324999999999999
2017-07-06,RN9F,82.0,0.61,10.33,7.61,14.6,8.549999999999999
2017-10-05,RN9F,68.0,0.73,9.92,6.23,18.4,12.774999999999999
2018-01-17,RN9F,110.0,0.66,8.47,7.97,26.3,17.0
2018-04-12,RN9F,85.0,0.4,9.04,7.71,22.7,10.0
2018-07-05,RN9F,110.0,0.94,10.24,7.57,11.6,8.9
2018-09-26,RN9F,89.0,0.76,9.29,5.99,18.4,7.8
2019-01-17,RN9F,67.0,0.7,7.01,6.89,24.2,6.699999999999999
2019-03-21,RN9F,48.0,0.75,7.84,7.5,22.6,5.6
2019-06-27,RN9F,170.0,0.82,9.11,6.9,14.7,4.5
2019-10-10,RN9F,66.0,0.85,9.0,6.88,17.5,3.3999999999999995
2020-01-30,RN9F,50.0,0.75,7.7,7.84,25.5,2.3
2020-05-07,RN9F,120.0,0.5,9.67,7.05,17.3,2.275
2021-09-09,RN9F,100.0,0.79,9.52,8.04,15.4,2.25
2021-12-02,RN9F,87.5,0.79,8.27,8.09,23.0,2.225
2022-01-20,RN9F,160.0,1.12,9.8,6.92,13.2,2.2
